id,lang,query,rag_http_ok,baseline_http_ok,rag_latency_ms,baseline_latency_ms,rag_retrieved_count,baseline_retrieved_count,rag_top_source,baseline_top_source,rag_answer_short,baseline_answer_short,manual_better,manual_note
Q1,zh,台中勞保局在哪裡？地址跟電話是什麼？,True,True,752,1768,1,0,台中市辦事處辦事處,,"**台中市辦事處辦事處**
- 地址：台中市辦事處 台中市西區民權路131號
- 服務時間：週一至週五　08：30~17：30
- 電話：04-22216711
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。","摘要
- 台中勞保局的地址和電話資訊可能會隨時間變動，建議直接查詢官方網站或聯絡當地政府機構以獲取最新資訊。

檢查清單
1. 確認是否有最新的地址和電話資訊。
2. 造訪當地政府或勞保局的官方網站。
3. 撥打當地政府的查詢電話以獲取準確資訊。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q10,zh,勞工保險條例罰鍰應行注意事項有哪些重點？,True,True,2189,1839,4,0,就業保險法罰鍰應行注意事項,," 摘要
- 勞工保險條例罰鍰的重點包括對不當行為的處罰與投保手續的要求。

 檢查清單
1. 以詐欺或不正當行為領取保險給付，處以二倍罰鍰。
2. 虛偽證明、報告、陳述及申報診療費用，處以二倍罰鍰。
3. 勞工未參加保險，處100至500元罰鍰。
4. 投保單位未辦理投保手續，按應負擔保險費處罰。

 資料來源
- 勞工保險條例罰鍰應行注意事項 – https://www.bli.gov.tw/0102423.html
- 勞工保險條例…","摘要
- 勞工保險條例中的罰鍰主要涉及雇主未依規定為勞工投保或未繳納保險費等情況。

檢查清單
1. 確認雇主是否按時為所有符合資格的勞工投保。
2. 確保按時繳納所有應繳的勞工保險費用。
3. 檢查是否有任何未報或漏報的勞工名單。
4. 確保所有保險相關文件和報告的準確性和及時性。
5. 熟悉相關法律條文，以避免違規行為。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q11,zh,我想知道我個人的勞保能領多少，幫我直接算出來。,True,True,1433,1614,5,0,勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法,,"摘要
- 無法直接計算個人勞保金額，建議查詢勞保局。

檢查清單
1. 準備個人基本資料。
2. 使用勞保局提供的查詢服務。
3. 若有疑問，請聯繫勞保局客服。

資料來源
- 勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法 – [連結](https://www.bli.gov.tw/0102444.html)

註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。","摘要
- 計算個人的勞保給付金額需要具體的個人資料，如投保年資、平均月投保薪資等。

檢查清單
1. 確認您的投保年資：這是計算勞保給付的重要因素之一。
2. 確認您的平均月投保薪資：通常是最近60個月的平均值。
3. 確認您所需的給付類型：如退休金、失業給付等，不同類型的給付計算方式不同。
4. 使用勞保局提供的計算工具或諮詢專業人士以獲得準確的金額。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回…",,
Q12,en,Where is the Taichung BLI office and what are its phone number and hours?,True,True,184,1301,1,0,台中市辦事處辦事處,,"**台中市辦事處辦事處**
- Address: 台中市辦事處 台中市西區民權路131號
- Hours: 週一至週五　08：30~17：30
- Phone: 04-22216711
- Official link: https://www.bli.gov.tw/0009139.html
Tip: Call ahead to confirm whether an appointment or documents are require…","## Summary
The Taichung BLI (Bureau of Labor Insurance) office is located in Taichung, Taiwan. However, specific details about its exact address, phone number, and operating hours are not provided here.

## Checklist
1. …",,
Q13,zh,新北市勞保局辦事處地址、電話和服務時間是什麼？,True,True,210,1641,1,0,新北市辦事處辦事處,,"**新北市辦事處辦事處**
- 地址：新北市辦事處 新北市新莊區中平路439號南棟1樓
- 服務時間：週一至週五　08：30~17：30
- 電話：02-89952100
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。"," 摘要
- 新北市勞保局辦事處的地址、電話和服務時間可能會有所變動，建議直接聯繫或查詢官方網站以獲取最新資訊。

 檢查清單
1. 查詢新北市勞保局的官方網站以獲取最新的地址和聯絡資訊。
2. 撥打新北市政府的服務電話以確認勞保局的詳細資訊。
3. 注意辦事處的服務時間通常為平日上班時間，但具體時間可能會有所不同。

 資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q14,zh,高雄鳳山附近的勞保局第二辦事處在哪裡？電話是多少？,True,True,217,1335,1,0,高雄市第二辦事處辦事處,,"**高雄市第二辦事處辦事處**
- 地址：高雄市第二辦事處 高雄市鳳山區復興街6號
- 服務時間：週一至週五　08：30~17：30
- 電話：07-7462500
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。"," 摘要
- 高雄鳳山附近的勞保局第二辦事處的具體地址和電話資訊可能需要查詢官方網站或聯絡當地資訊服務。

 檢查清單
1. 查詢勞保局官方網站以獲取最新的辦事處地址和聯絡電話。
2. 使用地圖服務（如Google地圖）搜尋「高雄鳳山 勞保局第二辦事處」以確認位置。
3. 撥打勞保局的客服電話以獲取準確的聯絡資訊。

 資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q15,zh,桃園勞保局辦事處的櫃台服務時間和電話服務時間一樣嗎？,True,True,212,1528,1,0,桃園辦事處辦事處,,"**桃園辦事處辦事處**
- 地址：桃園辦事處 桃園市縣府路26號
- 服務時間：週一至週五　08：30~17：30
- 電話：03-3350003
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。","摘要
- 桃園勞保局辦事處的櫃台服務時間和電話服務時間可能不同，具體時間需確認。

檢查清單
1. 確認桃園勞保局辦事處的櫃台服務時間。
2. 確認桃園勞保局辦事處的電話服務時間。
3. 比較兩者時間是否一致。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q16,zh,花蓮勞保局辦事處地址在哪裡？電話是多少？,True,True,216,1418,1,0,花蓮辦事處辦事處,,"**花蓮辦事處辦事處**
- 地址：花蓮辦事處 花蓮縣花蓮市富吉路43號
- 服務時間：週一至週五　08：30~17：30
- 電話：03-8572256
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。","摘要
- 花蓮勞保局辦事處的地址和電話資訊可能會有變動，建議直接查詢官方網站或聯絡當地政府機構以獲取最新資訊。

檢查清單
1. 確認花蓮勞保局辦事處的具體地址。
2. 查詢辦事處的聯絡電話。
3. 建議訪問勞保局官方網站或撥打當地政府查詢電話以獲取最新資訊。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q17,zh,馬祖勞保局辦事處在哪裡？有電話可以先問嗎？,True,True,206,2558,1,0,馬祖辦事處辦事處,,"**馬祖辦事處辦事處**
- 地址：馬祖辦事處 連江縣馬祖南竿鄉介壽村47-4號
- 服務時間：週一至週五　08：30~17：30
- 電話：0836-22467
- 官方連結：https://www.bli.gov.tw/0009139.html
小提醒：建議先電話確認是否需預約與攜帶文件。","摘要
- 馬祖勞保局辦事處的具體地址和電話號碼可能需要查詢當地資訊。

檢查清單
1. 搜尋馬祖地區的勞保局辦事處地址。
2. 查詢當地政府或勞保局的官方網站以獲取聯絡電話。
3. 可以考慮撥打當地政府的總機詢問相關資訊。

資料來源
- 無檢索來源（LLM-only baseline）。

註：此基線回答未使用檢索到的官方資料。",,
Q18,en,Where is the Taipei BLI office and when is the counter open?,True,True,233,1115,1,0,台北市辦事處辦事處,,"**台北市辦事處辦事處**
- Address: 台北市辦事處 台北市羅斯福路1段4號1樓
- Hours: 週一至週五　08：30~17：30
- Phone: 02-23216884
- Official link: https://www.bli.gov.tw/0009139.html
Tip: Call ahead to confirm whether an appointment or documents are requir…","## Summary
The Taipei BLI (Bureau of Labor Insurance) office is located in Taipei City. The counter is typically open during regular business hours on weekdays.

## Checklist
1. Locate the Taipei BLI office in Taipei Cit…",,
