id,lang,q,category,source_dataset,target_source
Q1,zh,台中勞保局在哪裡？地址跟電話是什麼？,office_lookup,offices.csv,台中市辦事處
Q2,zh,台北勞保局的服務時間？櫃台幾點到幾點？,office_lookup,offices.csv,台北市辦事處
Q3,zh,勞保失能給付第 1 級與第 15 級的給付日數是多少？,disability_standard,A17000000J-030152-gJm.csv,各失能等級之給付標準
Q4,zh,勞工保險失能給付有哪些條件？,benefit_guidance,law_regulations.csv,給付部分-失能給付
Q5,zh,申請勞保傷病給付需要準備什麼資料？,benefit_guidance,law_regulations.csv,給付部分-傷病給付
Q6,zh,勞保老年給付有哪些種類？,benefit_guidance,law_regulations.csv,給付部分-老年給付
Q7,zh,勞保生育給付有哪些規定？,benefit_guidance,law_regulations.csv,給付部分-生育給付
Q8,zh,勞工保險條例第54條之2第2項無謀生能力的範圍是什麼？,legal_definition,law_regulations.csv,依勞工保險條例第54條之2第2項訂定無謀生能力之範圍
Q9,zh,勞保保險費怎麼計算？投保薪資跟保險費有什麼關係？,premium_guidance,law_regulations.csv,承保部分-投保薪資
Q10,zh,勞工保險條例罰鍰應行注意事項有哪些重點？,penalty_guidance,law_regulations.csv,勞工保險條例罰鍰應行注意事項
Q11,zh,我想知道我個人的勞保能領多少，幫我直接算出來。,boundary_case,law_regulations.csv,給付部分-老年給付
Q12,en,Where is the Taichung BLI office and what are its phone number and hours?,office_lookup,offices.csv,台中市辦事處
Q13,zh,新北市勞保局辦事處地址、電話和服務時間是什麼？,office_lookup,offices.csv,新北市辦事處
Q14,zh,高雄鳳山附近的勞保局第二辦事處在哪裡？電話是多少？,office_lookup,offices.csv,高雄市第二辦事處
Q15,zh,桃園勞保局辦事處的櫃台服務時間和電話服務時間一樣嗎？,office_lookup,offices.csv,桃園辦事處
Q16,zh,花蓮勞保局辦事處地址在哪裡？電話是多少？,office_lookup,offices.csv,花蓮辦事處
Q17,zh,馬祖勞保局辦事處在哪裡？有電話可以先問嗎？,office_lookup,offices.csv,馬祖辦事處
Q18,en,Where is the Taipei BLI office and when is the counter open?,office_lookup,offices.csv,台北市辦事處
Q19,zh,被裁減資遣後，還可以繼續參加勞工保險嗎？,coverage_continuation,law_regulations.csv,被裁減資遣被保險人繼續參加勞工保險及保險給付辦法
Q20,zh,本國人或外籍配偶擔任家庭幫傭、看護時，參加勞保要注意什麼？,coverage_rules,law_regulations.csv,本國人與外籍配偶及大陸港澳配偶擔任家庭幫傭看護及居家式托育服務提供者參加勞工保險及勞工職業災害保險審查作業注意事項
Q21,zh,職業災害勞工在醫療期間退保後，還能繼續參加勞工保險嗎？,coverage_continuation,law_regulations.csv,職業災害勞工醫療期間退保繼續參加勞工保險辦法
Q22,zh,就業保險法罰鍰應行注意事項的重點是什麼？,penalty_guidance,law_regulations.csv,就業保險法罰鍰應行注意事項
