id,category,target,top_source,retrieved_count,match_top,match_any,latency_ms,route,answer_short
Q1,office_lookup,台中市辦事處,台中市辦事處辦事處,1,True,True,752,office_lookup,**台中市辦事處辦事處** - 地址：台中市辦事處 台中市西區民權路131號 - 服務時間：週一至週五　08：30~17：30 - 電話：04-22216711 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q2,office_lookup,台北市辦事處,台北市辦事處辦事處,1,True,True,210,office_lookup,**台北市辦事處辦事處** - 地址：台北市辦事處 台北市羅斯福路1段4號1樓 - 服務時間：週一至週五　08：30~17：30 - 電話：02-23216884 - 官方連結：https://www.bli.gov.tw/0009139.html 小提醒：建議先電話確認是否需預約與攜帶文件。
Q3,disability_standard,各失能等級之給付標準,各失能等級之給付標準,1,True,True,5,disability_standard_lookup,摘要 - 已查到您詢問的失能等級給付日數。  檢查清單 1. 第1級：普通傷病 1200日；職業傷病 1800日 2. 第15級：普通傷病 30日；職業傷病 45日  資料來源 - 各失能等級之給付標準  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q4,benefit_guidance,給付部分-失能給付,給付部分-失能給付,3,True,True,2343,rag, 摘要 勞工保險失能給付的條件包括永久失能且符合給付標準。   檢查清單 1. 被保險人需經診斷為永久失能。 2. 失能狀態需符合失能給付標準。 3. 需經保險人自設或特約醫院診斷。 4. 失能需經治療後症狀固定。 5. 需符合勞工保險條例相關規定。   資料來源 - 給付部分-失能給付 – [連結](https://www.bli.gov.tw/0016179.html) - 勞工保險條例 – [連結](https://www.bli
Q5,benefit_guidance,給付部分-傷病給付,災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法,4,False,True,1791,rag, 摘要 申請勞保傷病給付需要準備申請書、給付收據和診斷書。   檢查清單 1. 準備傷病給付申請書及給付收據。 2. 準備傷病診斷書，需由醫院或診所開具，包含傷病名稱、醫療期間及經過。   資料來源 - 災區受災勞工保險與勞工職業災害保險及就業保險被保險人保險費支應及傷病給付辦法 – https://www.bli.gov.tw/0102448.html - 勞工保險條例施行細則 – https://www.bli.gov.tw/010
Q6,benefit_guidance,給付部分-老年給付,給付部分-老年給付,3,True,True,1641,rag, 摘要 - 勞保老年給付有多種選擇，具體種類不詳。   檢查清單 1. 確認符合老年給付的年齡和年資條件。 2. 確認是否選擇放棄死亡給付以申請老年給付。   資料來源 - 給付部分-老年給付 – [連結](https://www.bli.gov.tw/0013045.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q7,benefit_guidance,給付部分-生育給付,給付部分-傷病給付,5,False,True,1230,rag,抱歉，提供的資訊不足以完整回答您的問題。建議您查閱勞保局的官方網站以獲取詳細資訊。  資料來源 - 給付部分-生育給付 – [連結](https://www.bli.gov.tw/0013042.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q8,legal_definition,依勞工保險條例第54條之2第2項訂定無謀生能力之範圍,依勞工保險條例第54條之2第2項訂定無謀生能力之範圍,5,True,True,1617,rag, 摘要 - 無謀生能力的範圍包括重度以上身心障礙且未工作，或受禁治產宣告未撤銷。   檢查清單 1. 符合法定重度以上身心障礙資格，持有相關證明。 2. 未實際從事工作或未參加其他社會保險。 3. 受禁治產（監護）宣告，尚未撤銷。   資料來源 - 依勞工保險條例第54條之2第2項訂定無謀生能力之範圍 – [連結](https://www.bli.gov.tw/0102442.html)  註：本服務提供一般性說明，非法律意見；請以勞保
Q9,premium_guidance,承保部分-投保薪資,承保部分-投保薪資,5,True,True,1708,rag, 摘要 勞保保險費依據投保薪資計算，投保單位和被保險人共同負擔。   檢查清單 1. 投保單位依月薪資總額申報投保薪資。 2. 普通事故保險費：被保險人負擔20%，投保單位70%，政府補助10%。 3. 職業災害保險費由投保單位全額負擔。   資料來源 - 承保部分-投保薪資 – https://www.bli.gov.tw/0022930.html - 勞工保險條例 – https://www.bli.gov.tw/0102422.h
Q10,penalty_guidance,勞工保險條例罰鍰應行注意事項,就業保險法罰鍰應行注意事項,4,False,True,2189,rag, 摘要 - 勞工保險條例罰鍰的重點包括對不當行為的處罰與投保手續的要求。   檢查清單 1. 以詐欺或不正當行為領取保險給付，處以二倍罰鍰。 2. 虛偽證明、報告、陳述及申報診療費用，處以二倍罰鍰。 3. 勞工未參加保險，處100至500元罰鍰。 4. 投保單位未辦理投保手續，按應負擔保險費處罰。   資料來源 - 勞工保險條例罰鍰應行注意事項 – https://www.bli.gov.tw/0102423.html - 勞工保險條例
Q11,boundary_case,給付部分-老年給付,勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法,5,False,False,1433,rag,摘要 - 無法直接計算個人勞保金額，建議查詢勞保局。  檢查清單 1. 準備個人基本資料。 2. 使用勞保局提供的查詢服務。 3. 若有疑問，請聯繫勞保局客服。  資料來源 - 勞工保險被保險人轉投軍人保險公教人員保險年資保留辦法 – [連結](https://www.bli.gov.tw/0102444.html)  註：本服務提供一般性說明，非法律意見；請以勞保局公告為準。
Q12,office_lookup,台中市辦事處,台中市辦事處辦事處,1,True,True,184,office_lookup,**台中市辦事處辦事處** - Address: 台中市辦事處 台中市西區民權路131號 - Hours: 週一至週五　08：30~17：30 - Phone: 04-22216711 - Official link: https://www.bli.gov.tw/0009139.html Tip: Call ahead to confirm whether an appointment or documents are require
